time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-03T08:30:49.040Z,18.7651,-64.982,55,3.43,md,6,338,1.3395,0.25,pr,pr2017337001,2017-12-03T12:04:37.897Z,"47km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.94,11.29,0.12,5,reviewed,pr,pr
2017-12-03T07:51:28.870Z,-15.0965,-75.4838,27.26,4.4,mb,,153,3.36,0.94,us,us1000bkid,2017-12-03T08:20:36.040Z,"42km WNW of Minas de Marcona, Peru",earthquake,8.8,6.6,0.112,23,reviewed,us,us
2017-12-03T06:41:25.410Z,33.2743333,-116.2586667,6.45,2.47,ml,108,20,0.08152,0.2,ci,ci37822327,2017-12-04T20:20:14.008Z,"11km E of Borrego Springs, CA",earthquake,0.12,0.5,0.145,128,reviewed,ci,ci
2017-12-03T06:25:16.791Z,61.2906,-151.4966,81.2,2.5,ml,,,,0.52,ak,ak17439543,2017-12-05T14:55:37.667Z,"67km N of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-12-03T04:37:20.980Z,-8.3699,-74.315,188,4.3,mb,,91,1.716,0.65,us,us1000bkh5,2017-12-03T05:30:00.040Z,"26km E of Pucallpa, Peru",earthquake,9.1,11.2,0.239,5,reviewed,us,us
2017-12-03T04:35:28.640Z,52.4887,-175.8506,162.63,4.2,mb,,93,0.416,0.71,us,us1000bkh2,2017-12-03T06:26:20.435Z,"87km NE of Adak, Alaska",earthquake,8.9,7.6,0.035,224,reviewed,us,us
2017-12-03T02:47:27.040Z,30.7446,57.3634,10,4.2,mb,,134,5.491,0.84,us,us1000bkgh,2017-12-03T03:03:19.040Z,"57km NNE of Kerman, Iran",earthquake,6.9,1.9,0.107,24,reviewed,us,us
2017-12-03T02:37:21.820Z,-5.1347,145.3542,62.73,4.9,mb,,46,3.669,0.69,us,us1000bkgf,2017-12-03T10:21:42.875Z,"50km WNW of Madang, Papua New Guinea",earthquake,8,4.5,0.071,67,reviewed,us,us
2017-12-03T01:11:46.520Z,45.0025,-115.4068333,14.87,2.48,ml,11,108,0.429,0.16,mb,mb80273009,2017-12-04T23:53:45.120Z,"55km E of McCall, Idaho",earthquake,0.72,1.12,0.203,10,reviewed,mb,mb
2017-12-02T23:43:45.400Z,27.3571,88.1528,10,4.2,mb,,146,6.355,0.81,us,us1000bkfr,2017-12-03T05:26:54.832Z,"27km NNW of Naya Bazar, India",earthquake,10.4,1.9,0.1,28,reviewed,us,us
2017-12-02T20:19:44.850Z,21.5289,143.2646,320.43,4.3,mb,,134,5.628,0.76,us,us1000bke6,2017-12-03T05:16:58.040Z,"202km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,11.9,9.2,0.072,55,reviewed,us,us
2017-12-02T20:10:18.860Z,51.5142,-178.0952,20.01,2.7,ml,,194,0.27,0.69,us,us1000bkg2,2017-12-05T02:30:04.956Z,"41km S of Tanaga Volcano, Alaska",earthquake,3.5,6.6,,,reviewed,us,ak
2017-12-02T18:50:30.020Z,19.0521,121.1585,32.83,4.7,mb,,108,3.747,0.79,us,us1000bkcw,2017-12-05T17:36:53.040Z,"48km N of Namuac, Philippines",earthquake,8.9,6,0.056,97,reviewed,us,us
2017-12-02T18:39:43.266Z,59.6784,-153.0657,110.8,3.2,ml,,,,0.47,ak,ak17434625,2017-12-05T16:26:20.040Z,"70km W of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-12-02T17:49:04.700Z,-27.9935,-177.3177,47.73,5.1,mb,,73,1.357,0.94,us,us1000bkc4,2017-12-05T16:08:55.040Z,"152km NNE of Raoul Island, New Zealand",earthquake,9.8,4.9,0.044,163,reviewed,us,us
2017-12-02T17:20:26.260Z,-2.6976,28.6647,11.55,4.8,mww,,53,8.723,0.75,us,us1000bkbx,2017-12-05T15:31:10.260Z,"30km SW of Bukavu, Democratic Republic of the Congo",earthquake,8.7,4.3,0.103,9,reviewed,us,us
2017-12-02T17:17:40.668Z,60.0859,-152.8021,107.6,3.3,ml,,,,0.52,ak,ak17433811,2017-12-05T15:23:55.040Z,"44km S of Redoubt Volcano, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2017-12-02T16:56:28.170Z,-10.1159,152.4245,10,4.8,mb,,209,5.237,0.6,us,us1000bkbt,2017-12-02T17:52:08.040Z,"122km SSW of Kulumadau, Papua New Guinea",earthquake,10.6,2,0.139,16,reviewed,us,us
2017-12-02T16:40:43.270Z,71.4341,-11.1208,10,4.8,mb,,96,3.675,1.12,us,us1000bkbl,2017-12-02T16:53:46.040Z,"103km NW of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.8,2,0.139,16,reviewed,us,us
2017-12-02T16:17:37.430Z,36.0844,141.1353,44.59,4.5,mb,,151,1.802,1.44,us,us1000bkbf,2017-12-04T15:45:03.040Z,"46km ENE of Kashima-shi, Japan",earthquake,5.6,8.5,0.097,31,reviewed,us,us
2017-12-02T15:11:41.440Z,52.6852,159.5063,63.66,4.7,mb,,173,0.62,0.81,us,us1000bkaz,2017-12-02T15:25:13.040Z,"70km SE of Petropavlovsk-Kamchatskiy, Russia",earthquake,7,7.9,0.079,48,reviewed,us,us
2017-12-02T15:05:33.980Z,15.8782,-94.6393,20.97,4.2,mb,,180,2.439,1.34,us,us1000bkaw,2017-12-03T14:30:04.040Z,"39km S of San Francisco del Mar, Mexico",earthquake,11.8,14.6,0.08,43,reviewed,us,us
2017-12-02T14:17:54.030Z,36.0107,-97.9373,5,2.6,mb_lg,,48,0.23,0.1,us,us1000bkaj,2017-12-03T05:32:46.034Z,"11km SSW of Hennessey, Oklahoma",earthquake,1.1,1.9,0.066,60,reviewed,us,us
2017-12-02T13:26:16.892Z,51.3316,-178.1951,51,2.6,ml,,,,0.18,ak,ak17432242,2017-12-05T02:29:48.088Z,"61km S of Tanaga Volcano, Alaska",earthquake,,4,,,reviewed,ak,ak
2017-12-02T12:20:02.223Z,59.9837,-153.57,144.7,2.6,ml,,,,0.48,ak,ak17432212,2017-12-05T02:29:47.146Z,"23km E of Old Iliamna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-12-02T12:19:54.528Z,60.3342,-153.0732,186.5,2.8,ml,,,,0.9,ak,ak17432218,2017-12-02T12:24:32.937Z,"24km SW of Redoubt Volcano, Alaska",earthquake,,2.8,,,automatic,ak,ak
